Close,Volume,date
48.3,1765.0,2016-10-30
49.71,15283.0,2016-10-27
50.47,21189.0,2016-10-26
49.98,50026.0,2016-10-25
50.79,34420.0,2016-10-24
51.46,39723.0,2016-10-23
51.78,31385.0,2016-10-20
51.38,29822.0,2016-10-19
52.67,31624.0,2016-10-18
51.68,28432.0,2016-10-17
51.52,26730.0,2016-10-16
51.95,22127.0,2016-10-13
52.03,25642.0,2016-10-12
51.81,24471.0,2016-10-11
52.41,33630.0,2016-10-10
51.93,26575.0,2016-10-06
52.51,25994.0,2016-10-05
51.86,26124.0,2016-10-04
50.87,24858.0,2016-10-03
49.1,27245.0,2016-10-02
49.06,387.0,2016-09-29
49.24,9721.0,2016-09-28
48.69,27630.0,2016-09-27
45.97,34389.0,2016-09-26
47.35,21045.0,2016-09-25
45.89,39822.0,2016-09-22
47.65,32336.0,2016-09-21
46.83,25248.0,2016-09-20
45.88,28150.0,2016-09-19
45.95,19674.0,2016-09-18
45.77,19165.0,2016-09-15
46.59,28412.0,2016-09-14
45.85,28376.0,2016-09-13
47.1,21761.0,2016-09-12
48.32,18373.0,2016-09-11
48.01,18847.0,2016-09-08
49.99,30011.0,2016-09-07
47.98,17745.0,2016-09-06
47.26,37751.0,2016-09-05
46.83,22597.0,2016-09-01
47.05,23846.0,2016-08-31
47.04,668.0,2016-08-30
48.37,10607.0,2016-08-29
49.26,6703.0,2016-08-28
49.92,27534.0,2016-08-25
49.67,31721.0,2016-08-24
49.05,41304.0,2016-08-23
49.96,36665.0,2016-08-22
49.16,27608.0,2016-08-21
50.88,25452.0,2016-08-18
50.89,28379.0,2016-08-17
49.85,39930.0,2016-08-16
49.23,27839.0,2016-08-15
48.35,21340.0,2016-08-14
46.97,23652.0,2016-08-11
46.04,29698.0,2016-08-10
44.05,24646.0,2016-08-09
44.98,18269.0,2016-08-08
45.39,19192.0,2016-08-07
44.27,24997.0,2016-08-04
44.29,25204.0,2016-08-03
43.1,30000.0,2016-08-02
41.8,23088.0,2016-08-01
42.45,21767.0,2016-07-31
42.46,428.0,2016-07-28
42.7,10527.0,2016-07-27
43.47,27266.0,2016-07-26
44.87,26793.0,2016-07-25
44.72,19167.0,2016-07-24
45.69,25423.0,2016-07-21
46.2,22328.0,2016-07-20
47.17,30188.0,2016-07-19
46.66,20962.0,2016-07-18
46.96,22151.0,2016-07-17
47.61,24450.0,2016-07-14
47.37,27528.0,2016-07-13
46.26,29323.0,2016-07-12
48.47,32157.0,2016-07-11
46.25,20339.0,2016-07-10
46.76,24682.0,2016-07-07
46.4,37267.0,2016-07-06
48.8,33332.0,2016-07-05
47.96,37154.0,2016-07-04
49.84,21731.0,2016-06-30
49.68,1313.0,2016-06-29
50.61,13050.0,2016-06-28
48.58,22475.0,2016-06-27
47.16,34439.0,2016-06-26
48.41,52110.0,2016-06-23
50.91,31356.0,2016-06-22
49.88,34368.0,2016-06-21
50.62,29249.0,2016-06-20
50.65,21739.0,2016-06-19
49.17,22172.0,2016-06-16
47.19,26672.0,2016-06-15
48.97,33399.0,2016-06-14
49.83,20904.0,2016-06-13
50.35,18914.0,2016-06-12
50.54,19899.0,2016-06-09
51.95,19759.0,2016-06-08
52.51,22382.0,2016-06-07
51.44,21088.0,2016-06-06
50.55,22446.0,2016-06-05
49.64,22460.0,2016-06-02
50.04,28156.0,2016-06-01
49.71,25507.0,2016-05-31
49.69,3997.0,2016-05-30
49.32,13383.0,2016-05-26
49.59,24441.0,2016-05-25
49.74,26667.0,2016-05-24
48.61,27698.0,2016-05-23
48.35,25366.0,2016-05-22
48.72,26839.0,2016-05-19
48.81,33279.0,2016-05-18
48.93,33480.0,2016-05-17
49.28,32460.0,2016-05-16
48.97,34770.0,2016-05-15
47.83,24243.0,2016-05-12
48.08,36256.0,2016-05-11
47.6,40873.0,2016-05-10
45.52,32801.0,2016-05-09
43.63,36293.0,2016-05-08
45.37,24512.0,2016-05-05
45.01,24432.0,2016-05-04
44.62,28903.0,2016-05-03
46.75,23630.0,2016-05-02
48.13,520.0,2016-04-28
48.14,10505.0,2016-04-27
47.18,17458.0,2016-04-26
45.74,28109.0,2016-04-25
44.48,31478.0,2016-04-24
45.11,35201.0,2016-04-21
44.53,35228.0,2016-04-20
45.8,32343.0,2016-04-19
44.03,43258.0,2016-04-18
42.91,39238.0,2016-04-17
43.1,30288.0,2016-04-14
43.84,25907.0,2016-04-13
44.18,37539.0,2016-04-12
44.69,39987.0,2016-04-11
42.83,26930.0,2016-04-10
41.94,32319.0,2016-04-07
39.43,34351.0,2016-04-06
39.84,33370.0,2016-04-05
37.87,26655.0,2016-04-04
37.69,24270.0,2016-04-03
39.66,20407.0,2016-03-31
39.6,399.0,2016-03-30
39.26,10641.0,2016-03-29
39.14,18903.0,2016-03-28
40.27,10405.0,2016-03-27
40.44,24268.0,2016-03-23
40.47,30553.0,2016-03-22
41.79,31640.0,2016-03-21
41.54,24893.0,2016-03-20
41.2,36422.0,2016-03-17
41.54,32670.0,2016-03-16
40.33,31153.0,2016-03-15
38.74,24741.0,2016-03-14
39.53,31277.0,2016-03-13
40.39,22689.0,2016-03-11
40.05,28194.0,2016-03-10
41.07,29231.0,2016-03-09
39.65,35047.0,2016-03-08
40.84,33230.0,2016-03-07
38.72,32203.0,2016-03-04
37.07,25866.0,2016-03-03
36.93,32186.0,2016-03-02
35.96,28210.0,2016-03-01
35.97,2779.0,2016-02-29
35.1,16272.0,2016-02-26
35.29,25470.0,2016-02-25
34.41,48659.0,2016-02-24
33.27,41038.0,2016-02-23
34.69,28302.0,2016-02-22
33.01,32381.0,2016-02-19
34.28,33585.0,2016-02-18
34.5,40298.0,2016-02-17
32.18,48407.0,2016-02-16
33.36,44770.0,2016-02-12
30.06,35929.0,2016-02-11
30.84,30705.0,2016-02-10
30.32,28881.0,2016-02-09
32.88,27425.0,2016-02-08
34.06,34903.0,2016-02-05
34.46,37559.0,2016-02-04
35.04,51237.0,2016-02-03
32.72,37956.0,2016-02-02
34.69,36878.0,2016-02-01
34.74,678.0,2016-01-29
33.89,59667.0,2016-01-28
33.1,51381.0,2016-01-27
31.8,50983.0,2016-01-26
30.5,41320.0,2016-01-25
32.18,63281.0,2016-01-22
29.25,55017.0,2016-01-21
27.88,39000.0,2016-01-20
28.76,60326.0,2016-01-19
31.01,37163.0,2016-01-15
31.03,663.0,2016-01-14
30.31,9674.0,2016-01-13
30.86,20138.0,2016-01-12
