Date,Close/Last,Volume,Open,High,Low
01/16/2015,49.32,N/A,49.32,49.32,49.32
01/15/2015,46.92,N/A,46.92,46.92,46.92
01/14/2015,49.13,N/A,49.13,49.13,49.13
01/13/2015,46.7,N/A,46.7,46.7,46.7
01/12/2015,46.96,N/A,46.96,46.96,46.96
01/09/2015,49.18,N/A,49.18,49.18,49.18
01/08/2015,49.46,N/A,49.46,49.46,49.46
01/07/2015,49.25,N/A,49.25,49.25,49.25
01/06/2015,48.64,N/A,48.64,48.64,48.64
01/05/2015,50.69,N/A,50.69,50.69,50.69
01/02/2015,53.26,N/A,53.26,53.26,53.26
01/01/2015,59.29,N/A,59.29,59.29,59.29
12/31/2014,59.29,N/A,59.29,59.29,59.29
12/30/2014,59.33,N/A,59.33,59.33,59.33
12/29/2014,59.28,N/A,59.28,59.28,59.28
12/26/2014,59.43,N/A,59.43,59.43,59.43
12/25/2014,59.64,N/A,59.64,59.64,59.64
12/24/2014,59.64,N/A,59.64,59.64,59.64
12/23/2014,59.93,N/A,59.93,59.93,59.93
12/22/2014,59.42,N/A,59.42,59.42,59.42
12/19/2014,60.02,N/A,60.02,60.02,60.02
12/18/2014,59.02,N/A,59.02,59.02,59.02
12/17/2014,60.01,N/A,60.01,60.01,60.01
12/16/2014,59.77,N/A,59.77,59.77,59.77
12/15/2014,59.77,N/A,59.77,59.77,59.77
12/12/2014,60.78,N/A,60.78,60.78,60.78
12/11/2014,62.03,N/A,62.03,62.03,62.03
12/10/2014,62.66,N/A,62.66,62.66,62.66
12/09/2014,64.6,N/A,64.6,64.6,64.6
12/08/2014,64.04,N/A,64.04,64.04,64.04
12/05/2014,66.18,N/A,66.18,66.18,66.18
12/04/2014,66.97,N/A,66.97,66.97,66.97
12/03/2014,67.46,N/A,67.46,67.46,67.46
12/02/2014,67.01,N/A,67.01,67.01,67.01
12/01/2014,69.03,N/A,69.03,69.03,69.03
11/28/2014,66.19,N/A,66.19,66.19,66.19
11/27/2014,73.71,N/A,73.71,73.71,73.71
11/26/2014,73.71,N/A,73.71,73.71,73.71
11/25/2014,74.12,N/A,74.12,74.12,74.12
11/24/2014,75.81,N/A,75.81,75.81,75.81
11/21/2014,76.67,N/A,76.67,76.67,76.67
11/20/2014,76.5,N/A,76.5,76.5,76.5
11/19/2014,76.09,N/A,76.09,76.09,76.09
11/18/2014,76.13,N/A,76.13,76.13,76.13
11/17/2014,76.56,N/A,76.56,76.56,76.56
11/14/2014,76.64,N/A,76.64,76.64,76.64
11/13/2014,75.78,N/A,75.78,75.78,75.78
11/12/2014,77.5,N/A,77.5,77.5,77.5
11/11/2014,77.97,N/A,77.97,77.97,77.97
11/10/2014,77.62,N/A,77.62,77.62,77.62
11/07/2014,78.53,N/A,78.53,78.53,78.53
11/06/2014,77.95,N/A,77.95,77.95,77.95
11/05/2014,78.59,N/A,78.59,78.59,78.59
11/04/2014,77.27,N/A,77.27,77.27,77.27
11/03/2014,78.8,N/A,78.8,78.8,78.8
10/31/2014,84.34,N/A,84.34,84.34,84.34
10/30/2014,84.36,N/A,84.36,84.36,84.36
10/29/2014,84.46,N/A,84.46,84.46,84.46
10/28/2014,84.36,N/A,84.36,84.36,84.36
10/27/2014,84.28,N/A,84.28,84.28,84.28
10/24/2014,84.29,N/A,84.29,84.29,84.29
10/23/2014,84.57,N/A,84.57,84.57,84.57
10/22/2014,84.09,N/A,84.09,84.09,84.09
10/21/2014,84.77,N/A,84.77,84.77,84.77
10/20/2014,84.57,N/A,84.57,84.57,84.57
10/17/2014,84.62,N/A,84.62,84.62,84.62
10/16/2014,84.58,N/A,84.58,84.58,84.58
10/15/2014,84.07,N/A,84.07,84.07,84.07
10/14/2014,84.17,N/A,84.17,84.17,84.17
10/13/2014,86.5,N/A,86.5,86.5,86.5
10/10/2014,86.57,N/A,86.57,86.57,86.57
10/09/2014,86.54,N/A,86.54,86.54,86.54
10/08/2014,87.67,N/A,87.67,87.67,87.67
10/07/2014,88.83,N/A,88.83,88.83,88.83
10/06/2014,90.01,N/A,90.01,90.01,90.01
10/03/2014,89.47,N/A,89.47,89.47,89.47
10/02/2014,90.6,N/A,90.6,90.6,90.6
10/01/2014,90.39,N/A,90.39,90.39,90.39
09/30/2014,90.85,N/A,90.85,90.85,90.85
09/29/2014,94.19,N/A,94.19,94.19,94.19
09/26/2014,93.22,N/A,93.22,93.22,93.22
09/25/2014,92.27,N/A,92.27,92.27,92.27
09/24/2014,92.55,N/A,92.55,92.55,92.55
09/23/2014,91.33,N/A,91.33,91.33,91.33
09/22/2014,90.69,N/A,90.69,90.69,90.69
09/19/2014,91.47,N/A,91.47,91.47,91.47
09/18/2014,91.77,N/A,91.77,91.77,91.77
09/17/2014,92.96,N/A,92.96,92.96,92.96
09/16/2014,93.56,N/A,93.56,93.56,93.56
09/15/2014,91.77,N/A,91.77,91.77,91.77
09/12/2014,91.16,N/A,91.16,91.16,91.16
09/11/2014,91.69,N/A,91.69,91.69,91.69
09/10/2014,90.69,N/A,90.69,90.69,90.69
09/09/2014,91.74,N/A,91.74,91.74,91.74
09/08/2014,91.94,N/A,91.94,91.94,91.94
09/05/2014,92.6,N/A,92.6,92.6,92.6
09/04/2014,93.55,N/A,93.55,93.55,93.55
09/03/2014,94.5,N/A,94.5,94.5,94.5
09/02/2014,91.97,N/A,91.97,91.97,91.97
09/01/2014,94.79,N/A,94.79,94.79,94.79
08/29/2014,94.79,N/A,94.79,94.79,94.79
08/28/2014,93.67,N/A,93.67,93.67,93.67
08/27/2014,93.24,N/A,93.24,93.24,93.24
08/26/2014,93.28,N/A,93.28,93.28,93.28
08/25/2014,92.81,N/A,92.81,92.81,92.81
08/22/2014,93.08,N/A,93.08,93.08,93.08
08/21/2014,93.26,N/A,93.26,93.26,93.26
08/20/2014,92.77,N/A,92.77,92.77,92.77
08/19/2014,92.71,N/A,92.71,92.71,92.71
08/18/2014,93.57,N/A,93.57,93.57,93.57
08/15/2014,95.15,N/A,95.15,95.15,95.15
08/14/2014,93.94,N/A,93.94,93.94,93.94
08/13/2014,96.61,N/A,96.61,96.61,96.61
08/12/2014,96.35,N/A,96.35,96.35,96.35
08/11/2014,97.07,N/A,97.07,97.07,97.07
08/08/2014,96.72,N/A,96.72,96.72,96.72
08/07/2014,96.58,N/A,96.58,96.58,96.58
08/06/2014,96.13,N/A,96.13,96.13,96.13
08/05/2014,96.45,N/A,96.45,96.45,96.45
