Date,Close/Last,Volume,Open,High,Low
07/18/2017,48.84,20046,48.41,49.4,48.24
07/17/2017,48.42,15815,49.06,49.25,48.31
07/14/2017,48.91,21618,48.4,49.08,48.16
07/13/2017,48.42,22279,47.65,48.53,47.18
07/12/2017,47.74,29645,48.21,48.75,47.35
07/11/2017,47.52,21918,47.02,48.17,46.3
07/10/2017,46.88,20536,46.9,47.37,46.12
07/07/2017,46.71,27715,47.98,47.99,46.28
07/06/2017,48.11,25247,48.3,49.17,47.78
07/05/2017,47.79,40554,49.6,49.89,47.28
07/03/2017,49.68,184,49.6,49.67,49.35
06/30/2017,48.77,23255,47.54,49,47.54
06/29/2017,47.42,9372,47.44,48,47.19
06/28/2017,47.31,12792,46.25,47.47,46.19
06/27/2017,46.65,29470,45.96,47.04,45.82
06/26/2017,45.83,22688,45.69,46.22,45.04
06/23/2017,45.54,26351,45.29,45.74,45.04
06/22/2017,45.22,26897,44.84,45.78,44.55
06/21/2017,44.82,39732,45.84,46.61,44.36
06/20/2017,46.02,30403,46.9,47.22,45.43
06/19/2017,46.91,19561,47.3,47.75,46.77
06/16/2017,47.37,19580,46.84,47.6,46.82
06/15/2017,46.92,26428,46.99,47.19,46.7
06/14/2017,47,44338,48.18,48.68,46.77
06/13/2017,48.72,26732,48.27,48.81,47.88
06/12/2017,48.29,27915,48.18,49.12,48.01
06/09/2017,48.15,29485,47.91,48.54,47.44
06/08/2017,47.86,39847,48.23,48.58,47.56
06/07/2017,48.06,48740,49.99,50.13,47.97
06/06/2017,50.12,41397,49.48,50.3,48.99
06/05/2017,49.47,37995,49.96,50.73,49.05
06/02/2017,49.95,44189,50.4,50.51,48.96
06/01/2017,50.63,43625,50.91,51.45,50.25
05/31/2017,50.31,545,51.67,51.75,49.83
05/30/2017,51.84,16857,52.3,52.6,51.2
05/26/2017,52.15,452,51.37,52.32,52.01
05/25/2017,51.46,71742,53.91,54.66,51.03
05/24/2017,53.96,45759,54.2,54.62,53.67
05/23/2017,54.15,38661,53.85,54.47,53.21
05/22/2017,53.87,41124,53.87,54.37,53.65
05/19/2017,53.61,34464,52.53,53.79,52.53
05/18/2017,52.51,40609,52.1,52.74,51.11
05/17/2017,52.21,32694,51.24,52.6,51.05
05/16/2017,51.65,29310,51.86,52.35,51.19
05/15/2017,51.82,31856,50.84,52.62,50.65
05/12/2017,50.84,28738,50.77,51.08,50.34
05/11/2017,50.77,29448,50.28,51.15,50.24
05/10/2017,50.22,37509,48.99,50.62,48.85
05/09/2017,48.73,32505,49.44,49.71,48.41
05/08/2017,49.34,34806,49.29,49.88,48.49
05/05/2017,49.1,53760,48.39,49.62,46.65
05/04/2017,48.38,51139,50.62,50.72,48.18
05/03/2017,50.79,33626,51.05,51.12,50.21
05/02/2017,50.46,38076,51.39,52.14,50.16
05/01/2017,51.52,12912,51.85,51.98,51.22
04/28/2017,52.05,32475,51.96,52.59,51.63
04/27/2017,51.44,16815,51.47,51.75,50.43
04/26/2017,51.82,24306,51.86,52.44,51.4
04/25/2017,52.1,31189,51.65,52.38,51.31
04/24/2017,51.6,27056,52.05,52.58,51.43
04/21/2017,51.96,36216,53.03,53.28,51.57
04/20/2017,52.99,40707,53.06,53.54,52.69
04/19/2017,52.93,42940,54.74,55.22,52.59
04/18/2017,54.89,37685,55.48,55.49,54.62
04/17/2017,55.36,17646,55.85,55.97,55.3
04/13/2017,55.89,24917,55.67,56.06,55.58
04/12/2017,55.86,33015,56.28,56.63,55.51
04/11/2017,56.23,31758,56.05,56.28,55.46
04/10/2017,55.98,28159,55.24,56.05,55.24
04/07/2017,55.24,33006,54.75,56.07,54.57
04/06/2017,54.89,20228,54.15,54.99,54.02
04/05/2017,54.36,32860,54.27,55.08,53.98
04/04/2017,54.17,26955,53.14,54.36,52.75
04/03/2017,53.12,18217,53.64,53.72,53.04
03/31/2017,53.53,31784,53.1,53.76,52.62
03/30/2017,52.96,12142,52.4,53.09,52.03
03/29/2017,52.42,16814,51.34,52.46,51.34
03/28/2017,51.33,26625,50.86,51.87,50.79
03/27/2017,50.75,27084,51.02,51.1,50.03
03/24/2017,50.8,24410,50.6,51.05,50.4
03/23/2017,50.56,31436,50.76,51.09,50.26
03/22/2017,50.64,38521,50.87,50.97,49.64
03/21/2017,50.96,30304,51.66,52.21,50.73
03/20/2017,51.62,25071,51.75,51.93,51.01
03/17/2017,51.76,20037,51.72,52.17,51.53
03/16/2017,51.74,28687,52.09,52.59,51.5
03/15/2017,51.81,34704,51.79,52.04,51.36
03/14/2017,50.92,49257,51.4,51.83,50.25
03/13/2017,51.35,28701,51.37,51.69,50.84
03/10/2017,51.37,40592,52.44,53.01,51.15
03/09/2017,52.19,59917,53.13,53.85,51.48
03/08/2017,53.11,42719,55.61,55.76,52.94
03/07/2017,55.92,26829,55.99,56.64,55.55
03/06/2017,56.01,25242,55.8,56.24,55.32
03/03/2017,55.9,24552,55.18,55.94,55.09
03/02/2017,55.08,34782,56.31,56.44,55.01
03/01/2017,56.36,25884,56.5,57.05,56.23
02/28/2017,55.59,439,55.98,56.07,55.27
02/27/2017,55.93,8191,56.04,56.76,55.91
02/24/2017,55.99,18262,56.51,56.65,55.75
02/23/2017,56.58,35531,56.19,57.35,56.15
02/22/2017,55.84,36022,56.69,56.99,55.58
02/21/2017,56.66,56156,55.91,57.3,55.71
02/17/2017,55.81,13954,55.91,56.4,55.71
02/16/2017,55.65,32680,55.67,56.23,55.13
02/15/2017,55.75,26476,55.84,56.25,55.55
02/14/2017,55.97,25872,55.71,56.45,55.55
02/13/2017,55.59,24990,56.77,56.8,55.43
02/10/2017,56.7,29895,55.69,56.87,55.58
02/09/2017,55.63,28963,55.26,55.92,55.2
02/08/2017,55.12,44120,54.55,55.67,54.21
02/07/2017,55.05,32192,55.93,55.98,54.64
02/06/2017,55.72,26127,56.8,57.11,55.65
02/03/2017,56.81,25958,56.83,57.29,56.39
02/02/2017,56.56,30369,56.53,57.43,56.34
02/01/2017,56.8,34427,55.56,56.82,55.37
01/31/2017,55.7,578,55.22,55.94,54.94
01/30/2017,55.23,8411,55.4,55.64,54.97
01/27/2017,55.52,19802,56.11,56.5,54.85
01/26/2017,56.24,43982,55.37,56.55,55.21
01/25/2017,55.08,33535,55.24,55.64,54.76
01/24/2017,55.44,29373,55.39,55.85,55.05
01/23/2017,55.23,33119,55.47,55.74,54.65
01/20/2017,55.49,28952,54.28,55.79,54.19
01/19/2017,54.16,32681,54.31,54.75,53.9
01/18/2017,53.92,39734,55.47,55.89,53.78
01/17/2017,55.47,44316,55.67,56.97,55.2
01/13/2017,55.45,377,56.06,55.68,55.31
01/12/2017,56.01,35782,55.23,56.43,55.03
01/11/2017,55.1,45383,53.7,55.67,53.66
01/10/2017,53.64,33030,54.84,55.34,53.57
01/09/2017,54.94,25140,56.86,56.99,54.74
01/06/2017,57.1,24556,56.88,57.46,56.3
01/05/2017,56.89,32774,56.54,57.34,56.01
01/04/2017,56.46,27001,55.69,56.53,55.34
01/03/2017,55.47,41864,57.05,58.37,55.29
12/30/2016,56.82,13468,56.95,57.21,56.46
12/29/2016,56.14,595,55.97,56.64,55.97
12/28/2016,56.22,8283,56.08,56.56,55.89
12/27/2016,56.09,8191,55.48,56.26,55.05
12/23/2016,55.16,15100,54.88,55.34,54.27
12/22/2016,55.16,15100,54.88,55.34,54.27
12/21/2016,54.46,30833,55.6,55.86,54.32
12/20/2016,55.35,35707,55.12,55.91,54.75
12/19/2016,54.92,30529,55.49,55.79,54.69
12/16/2016,55.21,30759,54.22,55.38,53.71
12/15/2016,54.02,34338,53.72,54.5,53.15
12/14/2016,53.9,39693,55.23,55.8,53.61
12/13/2016,55.72,38120,55.37,56.43,55.15
12/12/2016,55.69,45663,54.75,57.49,54.75
12/09/2016,54.33,30376,53.95,54.44,53.77
12/08/2016,53.89,42879,53.05,54.05,52.83
12/07/2016,53,33774,53.96,54.21,52.92
12/06/2016,53.93,34415,54.21,54.93,53.52
12/05/2016,54.94,33280,54.23,55.33,53.81
12/02/2016,54.46,38574,53.87,54.5,52.86
12/01/2016,53.94,70732,51.46,54.52,51.43
11/30/2016,50.47,974,46.76,50.46,46.75
11/29/2016,46.38,14739,48.09,48.1,45.92
11/28/2016,48.24,24870,46.76,48.81,46.16
11/25/2016,47.24,26857,48.86,49.2,47.01
11/23/2016,48.95,265,49,49.09,48.91
11/22/2016,49.12,61401,49.1,49.97,48.14
